_key,_id,id,website,code,objectid,city,state,phone,name,geometry,longitude,latitude,descript,last_mod,filepath,address2,add_user,globalid,country,address1
264763,Brewery/264763,483,,,264763,De Pere,Wisconsin,,Egan Brewing,"{""type"":""Point"",""coordinates"":[-103.22699999999998,44.08120000000008]}",-103.22699999999998,44.08120000000008,,2010-07-22T18:00:00.000Z,,,0,{C683AB04-8E90-4423-88AD-3AD17F53EC60},United States,
264712,Brewery/264712,812,http://www.magichat.net/,5403,264712,South Burlington,Vermont,1-802-658-2739,Magic Hat,"{""type"":""Point"",""coordinates"":[-93.24789999999996,44.97320000000008]}",-93.24789999999996,44.97320000000008,"Burlington microbrewers of Humble Patience, Fat Angel, #9, Blind Faith IPA, and Heart of Darkness Oatmeal Stout.",2010-07-22T18:00:00.000Z,,,0,{4407B7F4-A643-4379-BBF5-FF48D29FC977},United States,5 Bartlett Bay Road
263157,Brewery/263157,264,,,263157,Jumet,Hainaut,32-071-34-02-22,Brouwerij Alken-Maes,"{""type"":""Point"",""coordinates"":[5.05540000000002,50.98820000000006]}",5.05540000000002,50.98820000000006,,2010-07-22T18:00:00.000Z,,,0,{6C52C6B4-F596-414F-853A-D5156BE97270},Belgium,Rue Derbque 7
262770,Brewery/262770,501,,68508,262770,Lincoln,Nebraska,1-402-434-5959,Empyrean Brewing Company,"{""type"":""Point"",""coordinates"":[-74.97009999999995,39.912100000000066]}",-74.97009999999995,39.912100000000066,,2010-07-22T18:00:00.000Z,,,0,{E03FE709-70B7-4EE5-B9E0-7590CF9518C4},United States,729 Q Street
261987,Brewery/261987,779,http://www.lefthandbrewing.com/,80501,261987,Longmont,Colorado,1-303-772-0258,Left Hand Brewing Company,"{""type"":""Point"",""coordinates"":[115.75400000000002,-32.023199999999974]}",115.75400000000002,-32.023199999999974,,2010-07-22T18:00:00.000Z,,,0,{EA957358-8276-4A67-90C9-3B188BC56434},United States,1265 Boston Avenue
261978,Brewery/261978,586,,60612,261978,Chicago,Illinois,1-800-466-7363,Goose Island Beer Company - Fulton Street,"{""type"":""Point"",""coordinates"":[5.259200000000021,60.29450000000003]}",5.259200000000021,60.29450000000003,,2010-07-22T18:00:00.000Z,,,0,{1314A434-DF6F-4330-9188-515660E7CB1B},United States,1800 West Fulton Street
263073,Brewery/263073,1307,http://www.unibroue.com,,263073,Chambly,Quebec,1-450-658-7658,Unibroue,,,,"There is more to certain beers than simple refreshment. Unibroue has raised the standards of conventional beer in by brewing craftsman beers for savouring.  Of incomparable quality and a taste, the beers at Unibroue are entirely natural, contain no chemical additives or preservatives, and are made with first quality ingredients.  Rediscover beer with Unibroue. You will never taste beer the same way again!",2010-07-22T18:00:00.000Z,,,0,{5205C88A-AF81-43FB-8AB6-20CFA31DBA87},Canada,80 Des Carrires
263561,Brewery/263561,287,http://www.liefmans.be/,,263561,Oudenaarde,Oost-Vlaanderen,32-055-31-13-92,Brouwerij Liefmans,"{""type"":""Point"",""coordinates"":[-89.41269999999997,45.638000000000034]}",-89.41269999999997,45.638000000000034,,2010-07-22T18:00:00.000Z,,,0,{02C5F7CE-28DD-411F-8697-8CDF7A67207E},Belgium,200 Aalststraat
262944,Brewery/262944,1385,http://www.youngs.co.uk,SW18 1NH,262944,London,,020 8875 7000,Youngs & Company Brewery,,,,,2010-07-22T18:00:00.000Z,,Wandsworth,1,{71C487AE-21C9-47E6-BBE7-8B8318926DC5},England,26 Osiers Road
264928,Brewery/264928,1175,http://www.blackdogales.com/,,264928,Polson,Montana,,Spanish Peaks Brewing,"{""type"":""Point"",""coordinates"":[-117.14999999999998,33.14060000000006]}",-117.14999999999998,33.14060000000006,,2010-07-22T18:00:00.000Z,,,0,{14901867-5A49-41FA-AD06-1BF642D97020},United States,Polson MT 59860
261268,Brewery/261268,1056,,,261268,South Stoke,Oxford,44-(01491)-873474,Ridgeway Brewing,"{""type"":""Point"",""coordinates"":[-122.00799999999998,36.96760000000006]}",-122.00799999999998,36.96760000000006,,2010-07-22T18:00:00.000Z,,,0,{59ECD745-0CD7-4267-B8D6-BD948AC6AAB4},United Kingdom,6 Chapel Close
264025,Brewery/264025,236,http://www.breckbrew.com/,80204,264025,Denver,Colorado,303-623-2739,Breckenridge Brewery,"{""type"":""Point"",""coordinates"":[-90.66519999999997,42.496500000000026]}",-90.66519999999997,42.496500000000026,,2010-07-22T18:00:00.000Z,,,0,{E029D0D5-B821-451A-90F7-80DC290A483B},United States,471 Kalamath Street
264628,Brewery/264628,433,http://www.struisebrouwers.be/,,264628,Woesten,West-Vlaanderen,,De Struise Brouwers,"{""type"":""Point"",""coordinates"":[-6.267499999999927,53.344100000000026]}",-6.267499999999927,53.344100000000026,,2010-07-22T18:00:00.000Z,,,0,{774C8780-2707-4A40-91AD-4ED3C70779DB},Belgium,Woesten
262002,Brewery/262002,1099,,,262002,Tadcaster,North Yorkshire,44-(01937)-839201,Samuel Smith Old Brewery (Tadcaster),"{""type"":""Point"",""coordinates"":[-90.89209999999997,46.58720000000005]}",-90.89209999999997,46.58720000000005,,2010-07-22T18:00:00.000Z,,,0,{8897061C-4D47-4D32-9C8C-F3EF1FFAD706},United Kingdom,High Street
