_key,_id,_from,_to,_rev,destinationGlobalID,esri__rtn,globalid,id,objectid,originGlobalID
esri__HasCategory_282777,esri__single_edge_collection/esri__HasCategory_282777,Style/260327,Category/260294,_dMtPKey--i,{CA2EF786-A10E-4B40-9737-9BDDDEA127B0},HasCategory,{C73BB9A8-C7BC-4C1E-BEEE-76DA659E615B},1,282777,{DE46E5CA-C265-4EED-AAD4-A4CFA48D169F}
esri__HasCategory_282786,esri__single_edge_collection/esri__HasCategory_282786,Beer/265569,Category/260321,_dMtPKey-AX,{A428D1F6-CB00-4559-AAFD-40885A4F2340},HasCategory,{76D9390D-D262-4A05-BA65-7DB3641873DD},64,282786,{9C1047C2-3473-4969-89F2-A785D9815112}
esri__HasCategory_282789,esri__single_edge_collection/esri__HasCategory_282789,Beer/270569,Category/260306,_dMtPKe6--r,{14B5AD65-890D-4062-90A7-C42C23B0066E},HasCategory,{452F37FC-0C28-4A96-A657-547AC2B24C3B},73,282789,{A9EF40D3-EB0D-485B-9EB4-D9FF3B18EB82}
esri__HasCategory_282993,esri__single_edge_collection/esri__HasCategory_282993,Style/260603,Category/260315,_dMtPKe6--v,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{DB9AA9E4-65CA-45E2-96A1-98593544C134},329,282993,{EAF64D13-4196-4803-B427-3724624A0358}
esri__HasCategory_282996,esri__single_edge_collection/esri__HasCategory_282996,Style/260606,Category/260303,_dMtPKf--_0,{520666BF-4054-4832-B54F-1DAE6F56729A},HasCategory,{CCCADBA9-433A-45B4-8A55-DE26CB112B63},335,282996,{920230B9-5324-42E3-BD76-D646CCC253A9}
esri__HasCategory_282999,esri__single_edge_collection/esri__HasCategory_282999,Beer/281099,Category/260324,_dMtPKf--_2,{36095811-0CD8-47AD-8900-5CA67B8F7E90},HasCategory,{69E2A6C1-A5A9-4ACD-9F4F-A87AFEC93627},337,282999,{F2A5D1A7-8C82-4882-8A97-66F07C43317F}
esri__HasCategory_283002,esri__single_edge_collection/esri__HasCategory_283002,Beer/271951,Category/260315,_dMtPKf--_4,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{55F3710C-2117-46B0-B936-55B00F2FBAE6},345,283002,{2421E579-B117-4DC9-A22E-72ACAD3F7783}
esri__HasCategory_283005,esri__single_edge_collection/esri__HasCategory_283005,Beer/265018,Category/260315,_dMtPKf--_5,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{43AD4F5A-EC7B-4625-AAF4-17FB56EBDD9C},349,283005,{07390DF4-5B45-42CF-AD2F-ADB960D583B0}
esri__HasCategory_283215,esri__single_edge_collection/esri__HasCategory_283215,Beer/280272,Category/260315,_dMtPKe2-A4,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{C2CEAC0E-0FA0-455B-A8DD-4521E56B7CE7},641,283215,{DEA1A6C2-BE57-4C9F-B307-0E943EF2413B}
esri__HasCategory_283218,esri__single_edge_collection/esri__HasCategory_283218,Beer/281384,Category/260324,_dMtPKe2-_i,{36095811-0CD8-47AD-8900-5CA67B8F7E90},HasCategory,{010CFD12-5D51-453A-BE82-E9DE22D960B3},644,283218,{361A56EB-45D5-426B-AF13-2C115B10C1CD}
esri__HasCategory_283428,esri__single_edge_collection/esri__HasCategory_283428,Beer/272781,Category/260309,_dMtPKey-_J,{F9551C7F-AD53-4635-B3E9-9A26943FAE19},HasCategory,{20A5ED26-0FD8-48E4-B300-5AC837832A36},893,283428,{F450E051-1B3A-41E9-B51F-AB04810C319D}
esri__HasCategory_283431,esri__single_edge_collection/esri__HasCategory_283431,Beer/275562,Category/260315,_dMtPKe2-_7,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{F8979BB2-2578-49AD-B493-4E2D1629CA47},5,283431,{F9F95899-1359-4C88-8BDC-F7846F2295F2}
esri__HasCategory_283434,esri__single_edge_collection/esri__HasCategory_283434,Beer/279169,Category/260303,_dMtPKey--R,{520666BF-4054-4832-B54F-1DAE6F56729A},HasCategory,{FA2CA95F-DF55-4355-BE02-727179101DDB},152,283434,{C85A12F8-8E31-4DEA-A7E2-EAA00E7E2DF0}
esri__HasCategory_283640,esri__single_edge_collection/esri__HasCategory_283640,Style/260731,Category/260324,_dMtPKe2-Ap,{36095811-0CD8-47AD-8900-5CA67B8F7E90},HasCategory,{C407C5EC-1DB9-4FFE-832C-03840C060D84},340,283640,{B44B9774-D644-45F1-9E94-AF8DCEC952F8}
esri__HasCategory_283646,esri__single_edge_collection/esri__HasCategory_283646,Beer/268066,Category/260315,_dMtPKf--_7,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{274E94A0-17D8-4ABD-83FD-A4A0D1522183},1055,283646,{74CCA55E-51F0-4545-91E9-03C4E2C9C623}
esri__HasCategory_283649,esri__single_edge_collection/esri__HasCategory_283649,Beer/273066,Category/260315,_dMtPKf--_8,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{E129591E-CF94-4B01-9584-63BE4A05C850},1058,283649,{962E93F9-63FD-4D29-95F2-61FDCEA561EA}
esri__HasCategory_283859,esri__single_edge_collection/esri__HasCategory_283859,Beer/265285,Category/260315,_dMtPKe6-__,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{E6EBBA7F-2786-4C50-A960-79FCD6866A7D},1184,283859,{62AAF37B-D20E-4E28-98D4-DF0864BC477D}
esri__HasCategory_283862,esri__single_edge_collection/esri__HasCategory_283862,Beer/278611,Category/260315,_dMtPKe6--N,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{02769632-1182-4C33-BE54-B3C73199E35C},985,283862,{0589B70F-F881-435C-8CD8-6D803550F3AB}
esri__HasCategory_283865,esri__single_edge_collection/esri__HasCategory_283865,Beer/278063,Category/260309,_dMtPKf--_9,{F9551C7F-AD53-4635-B3E9-9A26943FAE19},HasCategory,{AD66BBA7-6113-4C61-B2BB-2E0EE797EBA3},19,283865,{3BEEA2C4-B701-4E9D-82E0-1077A93C842D}
esri__HasCategory_284066,esri__single_edge_collection/esri__HasCategory_284066,Style/260528,Category/260294,_dMtPKf--A-,{CA2EF786-A10E-4B40-9737-9BDDDEA127B0},HasCategory,{A20C394C-B281-4353-920C-47CB1EC6E9F7},1335,284066,{913B20D8-28A5-45B9-9A2E-86FC4F1D325F}
esri__HasCategory_284075,esri__single_edge_collection/esri__HasCategory_284075,Beer/272227,Category/260315,_dMtPKf--A_,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{A6CF8B0E-59E5-435C-8A78-3F46712A0FB7},1343,284075,{9A19BE80-1236-4C2C-B279-FF5F3C2A8AC1}
esri__HasCategory_284078,esri__single_edge_collection/esri__HasCategory_284078,Beer/274735,Category/260303,_dMtPKf--AB,{520666BF-4054-4832-B54F-1DAE6F56729A},HasCategory,{447150A4-592A-4311-A115-1C8EC567B3E9},1349,284078,{FE13CA6D-F9B3-4A11-B770-4A93FE2088A1}
esri__HasCategory_284192,esri__single_edge_collection/esri__HasCategory_284192,Beer/269628,Category/260309,_dMtPKf--AW,{F9551C7F-AD53-4635-B3E9-9A26943FAE19},HasCategory,{ED17EA75-A52A-47B1-97BF-FDD22E805248},1394,284192,{C160EDFA-E756-4B91-B949-E02E99E1B078}
esri__HasCategory_284288,esri__single_edge_collection/esri__HasCategory_284288,Beer/274169,Category/260315,_dMtPKf--AC,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{1D539DEC-10DA-491B-8A31-0825A41AFE22},1173,284288,{10A4C2F6-8937-45A5-AF4B-8A06D40DAC62}
esri__HasCategory_284291,esri__single_edge_collection/esri__HasCategory_284291,Beer/267236,Category/260315,_dMtPKf--AD,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{83A3E985-0E77-4288-B1F7-89BF59CE7CC2},738,284291,{053C1238-1CB5-406D-A4F9-1E6C9759F062}
esri__HasCategory_284294,esri__single_edge_collection/esri__HasCategory_284294,Beer/280835,Category/260315,_dMtPKf--AE,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{A3F415E4-48E8-4A4E-B814-626FB14F26FD},1306,284294,{BF9482BC-21D4-4DE7-B655-C565C1EFA1AD}
esri__HasCategory_284504,esri__single_edge_collection/esri__HasCategory_284504,Beer/267790,Category/260306,_dMtPKe2-_Q,{14B5AD65-890D-4062-90A7-C42C23B0066E},HasCategory,{09C11AD8-389E-4BB9-ABF5-75EE8BD4A1B1},1598,284504,{1FD0E796-D318-4F2E-83B6-73F17B839F80}
esri__HasCategory_284507,esri__single_edge_collection/esri__HasCategory_284507,Beer/266960,Category/260309,_dMtPKf--AF,{F9551C7F-AD53-4635-B3E9-9A26943FAE19},HasCategory,{ED6FA0FB-DF5E-4BEC-942E-6838A5241609},1012,284507,{9AD20D01-2475-4382-BF78-2F71CDBF8763}
esri__HasCategory_284699,esri__single_edge_collection/esri__HasCategory_284699,Beer/267215,Category/260318,_dMtPKf--AH,{B495C6CA-9269-4D08-8E1B-0314283449FA},HasCategory,{177BB93D-C586-45BF-8C40-C37865D212A0},751,284699,{F16179AA-86A1-44E6-ACB0-6045EE50854E}
esri__HasCategory_284717,esri__single_edge_collection/esri__HasCategory_284717,Beer/267787,Category/260315,_dMtPKf--AI,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{3DD142FF-FDDB-44F9-9402-F522B7C01A54},1661,284717,{390654C0-0437-4258-BBD2-DE94F208DC23}
esri__HasCategory_284720,esri__single_edge_collection/esri__HasCategory_284720,Beer/280275,Category/260294,_dMtPKf--AJ,{CA2EF786-A10E-4B40-9737-9BDDDEA127B0},HasCategory,{2FC13ACB-4BC6-4607-9BA6-8DF0203DBC96},1732,284720,{8FE843D5-EDD4-451B-9E59-4D2F1C032EFE}
esri__HasCategory_284732,esri__single_edge_collection/esri__HasCategory_284732,Beer/281387,Category/260315,_dMtPKf--_6,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{896816A7-2B6E-430A-9926-B4D61428184D},1180,284732,{43884231-6C15-40F5-AE80-198B51CAC77A}
esri__HasCategory_284936,esri__single_edge_collection/esri__HasCategory_284936,Style/260558,Category/260324,_dMtPKf--AK,{36095811-0CD8-47AD-8900-5CA67B8F7E90},HasCategory,{B7F45AF5-6B30-4725-90A1-3928855CEAF1},1374,284936,{07FFF0A3-181D-4D31-99E0-7C206B189E8B}
esri__HasCategory_284942,esri__single_edge_collection/esri__HasCategory_284942,Beer/275005,Category/260294,_dMtPKey--j,{CA2EF786-A10E-4B40-9737-9BDDDEA127B0},HasCategory,{FCC760D9-CB6C-4A7B-BD76-0485EC45634D},1803,284942,{C95648CD-1250-403C-91CF-54C28E143E84}
esri__HasCategory_284945,esri__single_edge_collection/esri__HasCategory_284945,Beer/277784,Category/260315,_dMtPKe2--3,{FDB7E8AA-BA27-4A5C-957B-89A0F7F16C27},HasCategory,{6FF94A7D-6F25-497E-BCA1-E87FABA114BD},1383,284945,{067D4706-EE71-4144-AC2D-D9C651892E49}
esri__HasCategory_285155,esri__single_edge_collection/esri__HasCategory_285155,Beer/281935,Category/260306,_dMtPKf--AL,{14B5AD65-890D-4062-90A7-C42C23B0066E},HasCategory,{A702756C-C744-45AA-9C70-FABCB48D90E0},950,285155,{82595142-1DF5-41D1-83B6-2152D46DBCED}
esri__HasCategory_285158,esri__single_edge_collection/esri__HasCategory_285158,Beer/272787,Category/260294,_dMtPKey-_Q,{CA2EF786-A10E-4B40-9737-9BDDDEA127B0},HasCategory,{B76927E4-46D1-4360-B16F-2E7F06BF4E03},674,285158,{660BFB98-055D-4559-B6EB-6AB3D343767F}
